"Borough","MajorCategory","SubCategory","Value","CrimeDate","Region"
"E01000027",1,9,2006,NA,"Unknown"
"E01000027",1,7,2006,NA,"Unknown"
"E01000027",1,3,2006,NA,"Unknown"
"E01000027",1,1,2006,NA,"Unknown"
"E01000027",1,5,2006,NA,"Unknown"
"E01000027",1,5,2006,NA,"Unknown"
"E01000027",1,1,2006,NA,"Unknown"
"E01000027",1,12,2006,NA,"Unknown"
"E01000027",1,11,2006,NA,"Unknown"
"E01000027",1,10,2006,NA,"Unknown"
"E01000027",1,12,2006,NA,"Unknown"
"E01000028",1,11,2006,NA,"Unknown"
"E01000028",1,6,2006,NA,"Unknown"
"E01000028",1,6,2006,NA,"Unknown"
"E01000028",1,7,2006,NA,"Unknown"
"E01000028",1,3,2006,NA,"Unknown"
"E01000028",1,10,2006,NA,"Unknown"
"E01000028",1,8,2006,NA,"Unknown"
"E01000028",1,5,2006,NA,"Unknown"
"E01000028",1,12,2006,NA,"Unknown"
"E01000028",1,5,2006,NA,"Unknown"
"E01000028",1,3,2006,NA,"Unknown"
"E01000028",1,5,2006,NA,"Unknown"
"E01000028",1,10,2006,NA,"Unknown"
"E01000028",1,4,2006,NA,"Unknown"
"E01000028",1,7,2006,NA,"Unknown"
"E01000028",1,9,2006,NA,"Unknown"
"E01000028",1,7,2006,NA,"Unknown"
"E01000029",1,12,2006,NA,"Unknown"
"E01000029",1,11,2006,NA,"Unknown"
"E01000029",1,1,2006,NA,"Unknown"
"E01000029",1,11,2006,NA,"Unknown"
"E01000029",1,12,2006,NA,"Unknown"
"E01000029",1,3,2006,NA,"Unknown"
"E01000029",1,11,2006,NA,"Unknown"
"E01000029",1,8,2006,NA,"Unknown"
"E01000029",1,6,2006,NA,"Unknown"
"E01000029",1,4,2006,NA,"Unknown"
"E01000029",1,9,2006,NA,"Unknown"
"E01000029",1,6,2006,NA,"Unknown"
"E01000029",1,1,2006,NA,"Unknown"
"E01000029",1,1,2006,NA,"Unknown"
"E01000029",1,5,2006,NA,"Unknown"
"E01000029",1,11,2006,NA,"Unknown"
"E01000029",1,10,2006,NA,"Unknown"
"E01000029",1,5,2006,NA,"Unknown"
"E01000029",1,12,2006,NA,"Unknown"
"E01000029",1,5,2006,NA,"Unknown"
"E01000029",1,11,2006,NA,"Unknown"
"E01000029",1,9,2006,NA,"Unknown"
"E01000029",1,4,2006,NA,"Unknown"
"E01000029",1,6,2006,NA,"Unknown"
"E01000029",1,12,2006,NA,"Unknown"
"E01000029",1,12,2006,NA,"Unknown"
"E01000029",1,11,2006,NA,"Unknown"
"E01000029",1,6,2006,NA,"Unknown"
"E01000029",1,6,2006,NA,"Unknown"
"E01000029",1,1,2006,NA,"Unknown"
"E01000029",1,10,2006,NA,"Unknown"
"E01000029",1,9,2006,NA,"Unknown"
"E01000029",1,11,2006,NA,"Unknown"
